signatur;titel;laufzeit;geo_koordinate_x;geo_koordinate_y
11967;Uferbefestigung der Ihme, Hannover;1937;;
11468;Brücke Nr. 117 c (Kaiserbrücke), Hannover-Vahrenwald;1913;52.407749;9.739574
11882;Beschädigungen der Uferdeckung gegenüber der Sandverladestelle, Garbsen;1928;;
11472;Brücke Nr. 117 d am Lister Mühlenweg, Hannover-List;1911;;
11922;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381022;9.691551
14502;Hannover-Limmer, Herstellung der linken Hälfte an der Aufstiegsschleuse;1914;52.378302;9.681403
11406;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1914;52.408363;9.593116
11633;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1915;52.411306;9.728559
11998;Durch Hochwasser ausgekolktes Ufer der Leine bei km 26,9;1949;;
11395;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1912;52.408363;9.593116
11905;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.397734;9.556641
11792;Betonierung der Schleusensohle in der Aufstiegsschleuse, Hannover-Limmer;1913;52.378302;9.681403
11659;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.405566;9.799121
11509;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1916;52.405677;9.798489
11968;Uferbefestigung der Ihme am Krankenhaus Siloah, Hannover-Linden;1937;52.360599;9.726401
11528;Löffelbagger Alte Gehägestrasse, Hannover-Misburg;1913;52.384262;9.83394
11644;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1914;52.405566;9.799121
11624;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.423139;9.653925
11428;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1913;52.405619;9.587366
11841;Erdrutschungen auf der linken Seite des Zweigkanals bei Letter-Seelze;1914;52.398823;9.559685
14503;Hannover-Limmer, Blick in die Kammer an der Schleuse;1914;52.378466;9.681206
11878;Beschädigungen der Uferdeckung gegenüber dem Leineauslass, Leinetal;1928;;
11561;Station 48 und 80 nach Nordosten bei Garbsen.;1915;52.41533;9.615879
11731;Döteberger Brücke bei Seelze-Döteberg;1912;52.389174;9.597609
11917;Schaummassen im Leinearm (Hänischbrücke), Hannover-Calenberger Neustadt;1932;52.377973;9.716105
11615;Düker im Köllingsmoorgraben, Havelse;1913;;
11628;Dükerbau Alte Gehägestrasse, Hannover-Misburg;1914;52.384262;9.83394
11919;Schaummassen im Leinearm (Fischerstrasse), Hannover-Calenberger Neustadt;1932;52.377579;9.719831
11521;Brücke im Zuge des Misburger Dammes, Hannover-Misburg;1913;52.358994;9.866082
11785;Einlauf des städtischen Dükers, Hannover-Limmer;1913;;
11518;Brücke im Zuge des Misburger Dammes, Hannover-Misburg;1913;52.358994;9.866082
11915;Rutschungen des Anschlusskegels am Unterhaupt der Leineschleuse, Hannover-Limmer;1932;52.361232;9.864097
11640;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1914;52.405566;9.799121
11977;Strassenbrücke Nr. 250, Leinemasch;1938;;
11777;Eiseneinlagen der Sohle und Kammerwände der Leineaufstiegsschleuse, Hannover-Limmer;1913;52.378302;9.681403
11435;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1914;52.405619;9.587366
11618;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.423139;9.653925
11985;Ãœberholungsarbeiten der Hafenschleuse, Hannover-Linden;1938;52.378603;9.681056
11560;Misburger Hafen, Hannover-Misburg;1916;52.383249;9.857014
11711;Baustelle der Brücke, Seelze-Döteberg;1912;52.389174;9.597609
11770;Fertige Leineverlegung vor Durchbruch des Leinewassers, Hannover-Herrenhausen;1913;52.387151;9.672954
14505;Hannover-Limmer, Montage der Ständertore im Untergerüst an der Aufstiegsschleuse;1914;52.378302;9.681403
11867;Abgedrückte Nadellehnenschwelle der Kanalhauptbrücke über die Leine bei Seelze;1928;52.404069;9.584062
11552;Station 46 bei Garbsen;1915;52.412584;9.604723
11913;Rutschungen des Anschlusskegels am Unterhaupt der Leineschleuse, Hannover-Limmer;1932;52.361232;9.864097
11577;Hafenmauer, Hannover-Misburg;1916;52.383249;9.857014
11622;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.423139;9.653925
11563;Hafenmauer, Hannover-Misburg;1916;52.383249;9.857014
11576;Flutmulden bei Lohnde;1916;52.398802;9.561113
11991;Weidenpflanzungen am linken Ufer des Zweigkanals km 0,2, Hannover-Linden;1940;;
11808;Beim Brückenbau wurde bei Ausschachtungsarbeiten 1 Urne gefunden, Letter;1914;52.391547;9.650789
11721;Widerlager und Feldwegunterführung der Strecke Hannover-Wunstorf bei Lohnde;1912;52.398467;9.549575
11675;Dükerbau am Lister Koppelweg, Hannover-List;1915;52.405202;9.760653
11786;Eiseneinlagen der Sohle des Unterhauptes der Aufstiegsschleuse, Hannover-Limmer;1913;52.378277;9.6814
11943;Sandfang Rodenberger Aue bei Rodenberg;1936;52.303569;8.93128
11886;Trogwand der Kanalhauptbrücke über die Leine bei Seelze;1928;52.403884;9.584277
11462;Brücke Nr. 114 b, Engelbostel-Hannover-Stöcken;1913;52.334859;8.618746
11400;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1913;52.403884;9.584277
11670;Dükerbau am Eilenriedegraben, Hannover;1915;52.371895;9.852537
11809;Beim Brückenbau wurden bei Ausschachtungsarbeiten 2 Urnen gefunden, Letter;1914;;
11421;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1913;52.403884;9.584277
11987;Arbeiterdoppelwohnhaus in der Büttnerstrasse, Hannover-Vahrenwald;1939;52.411217;9.728998
11710;Baustelle der Brücke, Seelze-Almhorst;1912;52.399974;9.568436
11569;Station 50 bei Garbsen;1915;52.400317;9.541383
11832;Ziegeleiwegbrücke;1914;;
11840;Erdrutschungen auf der linken Seite des Zweigkanals bei Letter-Seelze;1914;52.388771;9.610682
11498;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1911;52.404451;9.809604
11679;Dükerbau am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1915;52.404451;9.809604
11625;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.423138;9.673878
11413;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1914;52.403884;9.584277
11535;Ãœberschwemmung nördlich des Kanals bei Garbsen;1916;52.402478;9.579677
11641;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.406414;9.786255
11696;Kanalbaustelle, Hannover-Vahrenwald;1915;52.407739;9.739621
11732;Baustelle der Brücke, Hannover-Limmer;1912;52.422564;9.650709
11768;Bagger- und Ausschachtungsarbeiten in der Baugrube der Aufstiegsschleuse, Hannover-Limmer;1913;52.384965;9.679575
11890;Trogwand der Kanalhauptbrücke über die Leine bei Seelze;1928;52.403884;9.584277
11995;Geräteschiff der Firma Parday;1949;52.405285;9.518618
11405;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1914;52.403884;9.584277
11960;Linker Hochwasserdamm beim Anschluss an den Altenbekener Eisenbahndamm, Hannover-Ricklingen;1937;52.423331;9.692475
11953;Auslass zur Leine;1936;52.403884;9.584277
12000;Von Badenden zertretenes Ufer bei km 168,8;;;
11524;Brücke im Zuge des Misburger Dammes, Hannover-Misburg;1916;52.403261;9.815755
11450;Grundstück Biermann südlich der Brücke Nr. 112, Garbsen;1915;52.405529;9.517608
11668;Dükerbau am Eilenriedegraben, Hannover;1915;52.406422;9.778923
11845;Erdrutschungen des Zweigkanals bei Harenberg;1914;52.38929;9.616685
11921;Schaummassen im Leinearm (Gymnasium), Hannover;1932;52.399808;9.648475
11708;Kanalbaustelle, Hannover-Vahrenwald;1915;52.415681;9.716365
11505;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1914;52.405658;9.798702
11463;Eisenbetonbrücke, Hannover-Stöcken-Engelbostel;1914;52.422523;9.6507
11876;Havelser Sperrtor, Havelse;1928;52.413855;9.609692
11899;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.404398;9.583533
11436;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1914;52.404398;9.583533
11652;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.403972;9.813214
11490;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1910;52.406427;9.781266
11746;Widerlager zum Sperrtor bei Lohnde;1913;52.399077;9.562401
14506;Hannover-Limmer, Eiseneinlagen in der Brücke des Untergerüstes an der Aufstiegsschleuse ;1914;52.378399;9.681329
11760;Verschalung der windschiefen Ãœbergangsstelle zwischen der Ufermauer der Gummiwerke Excelsior und dem Kanalprofil, Hannover-Limmer;1913;52.388824;9.66948
11901;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.403973;9.583948
11453;Brücke Nr. 114 b, Engelbostel-Hannover-Stöcken;1910;52.422591;9.650617
11839;Erdrutschungen auf der linken Seite des Zweigkanals bei Letter-Seelze;1914;52.392977;9.573836
11572;Station 50 und 52 bei Garbsen;1915;52.403058;9.529216
11966;Anschluss des linken Hochwasserdammes an der Brücke Waterlooplatz-Deipenaustrasse über die Ihme, Hannover-Linden;1937;52.363268;9.723643
11733;Baustelle der Brücke, Hannover-Limmer;1912;52.378064;9.697091
11416;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1915;52.403885;9.584229
11965;Rechter und linker Hochwasserdamm bei der Brücke Waterlooplatz-Diepenaustrasse über die Ihme, Hannover-Linden;1937;52.363268;9.723643
11741;Widerlager zum Sperrtor bei Lohnde;1913;52.399021;9.562445
11664;Dükerbau am Eilenriedegraben, Hannover;1915;52.406111;9.77454
11431;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1914;52.403987;9.584031
11456;Brücke Nr. 114 b, Engelbostel-Hannover-Stöcken;1910;52.422591;9.650617
11443;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1915;52.403987;9.584031
11852;Leineabstiegsschleuse, Hannover-Limmer;1914;52.384899;9.679782
11510;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1916;52.405675;9.798906
11567;Kanalhauptbrücke über die Leine bei Seelze;1916;52.403987;9.584031
11446;Hochwasser der Landstrasse, Garbsen-Seelze;1915;52.399878;9.543581
11938;Spundwandsicherung beim Südaue-Durchlass;1935;;
11491;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1910;52.405413;9.800722
11763;Betonierung der Sohle des Oberhauptes der Leineabstiegsschleuse, Hannover-Limmer;1913;52.384887;9.679678
11565;Hafenmauer, Hannover-Misburg;1916;52.38338;9.855334
11691;Kanalbaustelle, Hannover-Vahrenwald;1915;52.410891;9.729882
11743;Durchlass des Seelzer Grabens bei Lohnde;1913;52.401791;9.573838
11536;Brinker Hafen, Hannover-Vinnhorst;1916;52.417067;9.715633
11807;Beim Brückenbau wurde bei Ausschachtungsarbeiten eine Urne gefunden, Letter;1914;;
11484;Brücke Spannhagenstrasse, Hannover-Klein Buchholz;1910;52.405674;9.798827
11914;Rutschungen des Anschlusskegels am Unterhaupt der Leineschleuse, Hannover-Limmer;1932;52.384768;9.680435
11657;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.40451;9.809543
